gene	ensembl_gene_id	Basal	Club	Endothelia	Fibroblast	Hillock	Leukocytes	Luminal	Smooth.muscle
FAM87B	ENSG00000177757	0.0	0.0	0.0	0.009758104393726	0.0039688805506756	0.0231374247331146	0.0	0.0132004274486883
LINC00115	ENSG00000225880	0.0747355709486197	0.0797641482180846	0.0785657447688306	0.0721430718068948	0.0858590078825534	0.0882459246328853	0.167079315267392	0.0850989113577245
FAM41C	ENSG00000230368	0.0278732184933117	0.0221109657342496	0.0065722283089677	0.0158171633121695	0.0356810316635987	0.0912726105667891	0.0607397895418869	0.0367211997762074
LINC02593	ENSG00000223764	0.0	0.0	0.0	0.0043951533937816	0.0	0.0	0.0397451397192291	0.0021813696088707
SAMD11	ENSG00000187634	0.0027375645569639	0.0081068415933885	0.0123071887453401	0.304179231798783	0.0039530460712245	0.0285191777823094	0.125968853531216	0.0508960707371314
NOC2L	ENSG00000188976	1.35240085476507	0.504748598451265	0.763241208554465	0.901723786208378	1.07155580599074	0.368156193330027	0.679425884489788	0.935504447816391
KLHL17	ENSG00000187961	0.0139048514670401	0.0115513094840949	0.0064713996715715	0.018986189994183	0.0192068929597941	0.0	0.0293520657637964	0.0114920530231638
PLEKHN1	ENSG00000187583	0.511271051734118	0.61781544349432	0.0798527384266826	0.0591734831790694	0.93076807822159	0.104540916893288	0.405825130054173	0.0561060061585665
PERM1	ENSG00000187642	0.0277768633698137	0.0128230084081638	0.0	0.0	0.0360535798286682	0.0	0.0306698018336424	0.0103742587979896
HES4	ENSG00000188290	3.00563248195939	4.78656449599718	2.03132655600115	3.8266015652559	4.30062615920558	3.64970840766689	3.24299456395103	9.12221685142799
ISG15	ENSG00000187608	0.545143495398774	0.724925772760179	2.79903181990651	1.11181707716071	0.688755576801544	2.31688121589041	0.738948248462855	2.92260684377743
AGRN	ENSG00000188157	0.185572518670779	0.34861102206226	0.175042159852725	0.0439667184173164	0.271810331095968	0.0465045606943341	0.326422588946529	0.0927689991952149
RNF223	ENSG00000237330	0.106622434061406	0.394473388707547	0.0113321542095728	0.0187496137222754	0.481065844709844	0.0	0.103919940813316	0.0348263781262565
C1orf159		0.0669390654278364	0.0677768760051196	0.0398447358590492	0.0558392677401787	0.0681356029432213	0.0311816325686161	0.0866277798153385	0.0393096801796328
TTLL10-AS1	ENSG00000205231	0.0005799280741782	0.0	0.0	0.0051008554448346	0.0016911096169302	0.0	0.0	0.0
TTLL10	ENSG00000162571	0.0134265768852165	0.0282130979654387	0.0128622021842373	0.0	0.0191583188537848	0.0	0.0214932089013197	0.0095058522335657
TNFRSF18	ENSG00000186891	0.199998155219569	0.0897023863543578	0.0387678073131555	0.353731961566608	0.113922930115962	0.523255818872656	0.179611892546098	0.0410929784961002
TNFRSF4	ENSG00000186827	0.0024695092255967	0.0061601660749761	0.183605895311902	0.387777109341515	0.0010225219465902	0.796986693920293	0.0083742874823887	0.0132181659568502
SDF4	ENSG00000078808	1.13418897562064	1.06156634005114	1.20296867756124	1.66177095901039	0.952479160427627	1.09895501239852	1.76010199388753	1.11569960524054
B3GALT6	ENSG00000176022	0.492098412888851	0.168400506230664	0.412025437485937	0.244610616885048	0.280233469650317	0.341996092399177	0.195019257736807	0.284569913897465
C1QTNF12	ENSG00000184163	0.0240428847173749	0.0051030145935168	0.0334749770429215	0.0258901634651325	0.012350374209455	0.0358765669904764	0.0153866972482619	0.0115463271683674
UBE2J2	ENSG00000160087	0.946064294310317	0.981122353316535	0.75722319772175	0.799951849564753	0.861015825520311	0.612689037717266	0.741183848522587	0.705777503112575
LINC01786	ENSG00000230415	0.001566397738732	0.0040125524792505	0.0045000628351677	0.0	0.0028682195737152	0.0	0.0011337419937053	0.0036175527487148
SCNN1D	ENSG00000162572	0.0035565734881082	0.0026738382705149	0.0	0.0051210683016949	0.0032559580270461	0.0314757630185259	0.0042893634231312	0.0
ACAP3	ENSG00000131584	0.0872283318973994	0.132472603743315	0.0805318406799234	0.181102466803316	0.140138380694947	0.157945976179837	0.131514894194106	0.151854400630449
PUSL1	ENSG00000169972	0.201091349961449	0.336135915932221	0.135938996922891	0.195073509574789	0.333442308795506	0.136944269311173	0.30542869799622	0.152337329615883
INTS11	ENSG00000127054	0.56350436761423	0.392245601431346	0.330053859963182	0.375814163895973	0.526495190875395	0.380499442832828	0.436406887356252	0.576899710751627
CPTP	ENSG00000224051	0.135877924261739	0.166448650665712	0.180021033034373	0.087940602397912	0.143836461924572	0.0910354361755915	0.216271828974334	0.0335691328369107
TAS1R3	ENSG00000169962	0.0010902471446063	0.0	0.0	0.0	0.0	0.0	0.0029095197750879	0.0
DVL1	ENSG00000107404	0.116864930349141	0.172742192049788	0.147364265174639	0.120020796621783	0.190983190046963	0.0087119060500366	0.268766208075416	0.100977868465389
MXRA8	ENSG00000162576	0.0157460380734856	0.0015694133298007	0.0064764179178388	1.44258070845177	0.0015253671312484	0.053295656435251	0.0106262565794741	0.579002960590307
AURKAIP1	ENSG00000175756	2.52789650096253	3.0335569371886	2.60022849611253	1.85480131693768	2.94897419503063	2.27125253123016	2.90164406456485	2.14423417532018
CCNL2	ENSG00000221978	0.552211768405508	0.535320415167487	0.531678248220333	0.577057249709767	0.56332615387277	0.342556385722424	0.58324510731794	0.403934658184453
MRPL20	ENSG00000242485	2.27311554015769	2.04826597417973	1.73944677106631	1.72040212302535	2.14914406508046	1.54013814850817	2.46908907622574	2.06274112019037
ANKRD65	ENSG00000235098	0.170899247083789	0.172012578402964	0.156549738933822	0.110177314006071	0.148338510290894	0.0473628079163511	0.15462762368913	0.0702710799658321
LINC01770	ENSG00000225285	0.006977373379699	0.0050705985443289	0.0133910455835927	0.0	0.0017990719133311	0.0	0.0074937547638145	0.0
VWA1	ENSG00000179403	0.245385527060411	0.261007163945585	1.14486354734126	0.346176965916259	0.219177916496271	0.082187566274224	0.868194002035603	0.382880544088916
ATAD3C	ENSG00000215915	0.0491835264062969	0.0483443623153613	0.0728892379340414	0.0327632372417126	0.056372366577299	0.0349355039770939	0.0767774583086882	0.0132591010338699
ATAD3B	ENSG00000160072	0.15326448638796	0.0812183246313845	0.155772521475087	0.127578823543658	0.168676687934577	0.0972870961227687	0.109876875142925	0.113764934236671
ATAD3A	ENSG00000197785	0.320858931597119	0.0920660367724929	0.223406407737238	0.167748259039884	0.240258618966993	0.131429587070153	0.217182454712122	0.182579838754334
TMEM240	ENSG00000205090	0.0039846780230663	0.0024471464987154	0.0125576222747408	0.0209229821487423	0.0016695827162322	0.0	0.0040577002525911	0.0351301100489874
SSU72	ENSG00000160075	2.18827593845949	2.09391870458267	1.6042366223134	1.604743092771	2.08088307969972	1.68129685603462	2.46731867072355	1.63188518228573
RP5-832C2.5		0.0796801816262878	0.0312664275008218	0.0526987476647143	0.0712638057010648	0.0389339130839591	0.058284358609089	0.0663514112869969	0.0901797134985284
AL645728.1		0.000572242789602	0.0	0.0	0.0	0.0008035239116567	0.0	0.0	0.0
FNDC10	ENSG00000228594	0.0036841804678187	0.0017592663459689	0.002005369121365	0.0	0.0067954856426556	0.0314524819323946	0.0058438470809555	0.0
MIB2	ENSG00000197530	0.234480167829591	0.182287138184268	0.140965924886209	0.249437967853265	0.265907762482215	0.153217221325075	0.269738208185889	0.265322918504502
MMP23B	ENSG00000189409	0.0112219457398126	0.0177202783078685	0.0	0.922811844759747	0.009905576005117	0.0325916331230793	0.0106341560725569	0.169501669231217
CDK11B	ENSG00000248333	0.321295870072052	0.241608839129505	0.274082867603401	0.238670024873984	0.276686828247671	0.206358407175898	0.285150433846027	0.304018307787799
SLC35E2B	ENSG00000189339	0.105767306136067	0.169493355618806	0.140039543704631	0.211149629975859	0.124056721339653	0.0832475118302095	0.261624124564536	0.143385314080786
