gene	ensembl_gene_id	T_Cell_GZMK	NK_T_Cell_GNLY	Monocyte	T_Cell_IL7R	B_Cell_CD79A	T_Cell_XCL1	Plasma_Cell_JCHAIN	Macrophage_C1QB	T_Cell_GZMA	Endothelial_Cell_ACKR1	High_Proliferation_Erythrocyte	Secretory_Cell
FO538757.2		0.444491639797025	0.527116068353098	0.555135543408955	0.333838510861105	0.322110682010862	0.338099538074975	0.173207394578432	0.436497200686341	0.0	0.0	0.500167396787768	0.0
AP006222.2		0.0148279834737009	0.0	0.0	0.0	0.0049203881202149	0.0185928900788339	0.0079746709882852	0.0	0.0	0.0	0.0	0.0
RP4-669L17.10		0.0	0.0	0.0403678607088801	0.018340275617201	0.0182358441350203	0.0	0.0063868929350053	0.0	0.0	0.0	0.0	0.0
RP11-206L10.9		0.0325247499774841	0.0369359279848161	0.0	0.0200012407663085	0.0332675002492737	0.0144726178071089	0.0373963224301653	0.034665502465981	0.0	0.0	0.0	0.0
FAM87B	ENSG00000177757	0.0	0.0	0.0233793438820933	0.0	0.0062664889169147	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00115	ENSG00000225880	0.0250226211843025	0.0561893636089965	0.030160106151637	0.0132541844021815	0.0279323848584446	0.0	0.0184192914276477	0.0693154972426365	0.663086002254493	0.0	0.0	0.0
NOC2L	ENSG00000188976	0.28130967190253	0.257916838948518	0.0889216968292034	0.364975786528802	0.446437958791737	0.222796962978601	0.283470547046738	0.180459084533708	0.420486081910689	0.0	0.0	0.0
KLHL17	ENSG00000187961	0.0111638356579967	0.0189986207001372	0.0255265488871701	0.013039664859006	0.0174794768439254	0.0	0.0034161651053748	0.0	0.0	0.0	0.0	0.0
PLEKHN1	ENSG00000187583	0.0	0.0	0.044337691325699	0.0113314673759839	0.0	0.061149336620192	0.0125778654556441	0.0	0.0	0.0	0.0	0.0
RP11-54O7.17		0.0053825484859967	0.0	0.0676715578901239	0.0	0.0193937901822875	0.0	0.0	0.336072586556572	0.0	0.0	0.0	0.0
HES4	ENSG00000188290	0.0709569670938982	0.105037111438175	0.36244832305154	0.0812872163111353	0.35808942762739	0.0235537968720558	0.0035370064482282	0.610669319718703	0.0	0.0	0.0	0.0
ISG15	ENSG00000187608	1.43832582776342	1.317685284552	0.742482691209876	0.803099906189745	0.446602136621638	0.948503133328473	0.301177189763779	1.28570585937672	2.14953659838534	0.0	1.71571488007196	0.0
AGRN	ENSG00000188157	0.0	0.0	0.0	0.0107891375467362	0.0013845951056224	0.0	0.0	0.0364202356023975	0.0	0.0	0.0	0.0
C1orf159		0.040877271698346	0.141605712246612	0.0413581277614673	0.069321893624193	0.0478394582134453	0.0637622794038861	0.0280368044807353	0.0	0.0	0.0	0.0	0.0
TNFRSF18	ENSG00000186891	0.217826729722141	0.58462577005152	0.0	0.27341898668325	0.0170254253968521	0.414265293452932	0.0386818448014016	0.0	0.356087312609052	0.0	0.280962013935716	0.0
TNFRSF4	ENSG00000186827	0.107094749241661	0.266951395550369	0.0	0.588294483244466	0.0045084778297323	0.303627963020861	0.0076444047343601	0.0660058109043195	0.420486081910689	0.0	1.6857720836143	0.0
SDF4	ENSG00000078808	0.831718247627645	1.43966114794802	0.443122401536915	0.713028628187779	0.440087930095115	0.805972518727018	1.59446633268233	0.471682481932563	0.862262651746529	0.0	0.654621628698612	0.0
B3GALT6	ENSG00000176022	0.140239194355885	0.229659565147239	0.0424177750887943	0.182399268355945	0.154613717667312	0.0632990861770049	0.0692900252119458	0.0368759308457183	0.0	0.0	0.0	0.0
FAM132A	ENSG00000184163	0.0084378994766479	0.0	0.0771841416263834	0.0	0.0	0.0	0.0048133595757697	0.0	0.0	0.0	0.0	0.0
RP5-902P8.12		0.0	0.0	0.0	0.0026968098088366	0.0009411332448919	0.0	0.0036037724289786	0.0	0.0	0.0	0.0	0.0
UBE2J2	ENSG00000160087	0.328288705648712	0.395625319192858	0.313754128970381	0.237963565395683	0.217481958518804	0.149048086479833	0.345497297657636	0.214308454365102	0.425206225019134	0.0	0.781129410723484	0.0
SCNN1D	ENSG00000162572	0.0119409166763071	0.0	0.0	0.0097335888460705	0.0035759853985364	0.0	0.0	0.0119595194186717	0.0	0.0	0.0	0.0
ACAP3	ENSG00000131584	0.0897687765991377	0.0906111868927229	0.137251988466328	0.0948915619380721	0.0848409127286939	0.0440292767259105	0.0561075933077615	0.0176187628792221	0.0	0.0	0.0	0.0
PUSL1	ENSG00000169972	0.0966141064439904	0.0	0.0278096263292758	0.0578609921112898	0.0619681919904993	0.151732959222682	0.138695233183421	0.0487862809900569	0.0	0.0	0.0	0.0
CPSF3L	ENSG00000127054	0.470729242796556	0.333105046914159	0.256667109382596	0.333752009923767	0.323030014001944	0.347100607745512	0.272854705796486	0.163674791514669	0.0	0.0	0.56292220115728	0.0
CPTP	ENSG00000224051	0.104889133830254	0.0746127995797558	0.0442097149374918	0.063452499475289	0.0475931119749284	0.0203252032520325	0.145682423707198	0.0505715879136419	0.0	0.0	0.0	0.0
TAS1R3	ENSG00000169962	0.0046974115383459	0.0	0.0	0.004966291297816	0.0196204144244415	0.0	0.0461189702218599	0.0	0.0	0.0	0.0	0.0
DVL1	ENSG00000107404	0.0120792139233838	0.0	0.0570951471979027	0.0389658825646696	0.0310863706660269	0.0	0.0063835248074352	0.0161439263320354	0.0	0.0	0.0	0.0
MXRA8	ENSG00000162576	0.0	0.0	0.0103304077618552	0.0191073612971124	0.0023130029624941	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AURKAIP1	ENSG00000175756	1.13063052984676	1.27635199649503	1.19783057910262	1.03364215316797	0.92157753964114	1.19959743869533	2.37473024221055	0.938294160247483	1.9268810232998	0.0	0.844882388378845	0.0
CCNL2	ENSG00000221978	0.338972941484795	0.421865966106966	0.310332461723446	0.288286360369297	0.380486280333093	0.37244858609087	0.181331648738321	0.186877995253988	0.0	0.0	0.281960187221564	0.0
MRPL20	ENSG00000242485	1.20674798706566	1.10712167507901	0.921769720368087	1.19648843668171	0.929892765983901	1.44506445304844	1.15547452578055	1.44216433547683	0.845692306929823	4.65332712889716	2.06242621823474	0.0
RP4-758J18.13		0.0	0.0	0.0	0.003347280334728	0.0040216978643175	0.0	0.0041774636696428	0.0	0.0	0.0	0.0	0.0
ATAD3C	ENSG00000215915	0.0	0.0203322286155786	0.0	0.0069736217671724	0.0027097098659452	0.0177078906360674	0.0190904184278525	0.0	0.0	0.0	0.0	0.0
ATAD3B	ENSG00000160072	0.0939215364074327	0.163172372947403	0.0062274682414688	0.11718701720958	0.128988643092923	0.074874004008274	0.204931862556647	0.0314679250889181	0.0	0.0	0.281960187221564	0.0
ATAD3A	ENSG00000197785	0.0622990639329321	0.102767763471587	0.062775085375804	0.0560393750857324	0.0920735171661076	0.0236146764899523	0.300891243678075	0.0535069770269689	0.0	0.0	0.49916922350192	0.0
SSU72	ENSG00000160075	1.49852016463423	1.65037014504792	1.17937636080133	1.58018586955127	1.2295808565422	1.3716622638138	0.987526725957282	1.14168988013069	0.560821042005496	0.0	2.56059726845081	0.0
