gene	ensembl_gene_id	Enteriendocrine	Enterocyte	Goblet	Paneth.like	Progenitor	Stem.Cell	TA
RP11-34P13.7		0.0	0.0057422628100564	0.0102094984572221	0.0	0.002457702169849	0.0	0.0021085410264921
FO538757.2		0.101074213021966	0.333558831581514	0.266667604787517	0.305594997474486	0.25474866960891	0.460114807257207	0.217273501955875
AP006222.2		0.319342800463443	0.05687845524595	0.0640219223540387	0.143875745551529	0.153221314714721	0.105099283837845	0.170167871863057
RP4-669L17.10		0.0	0.0	0.0	0.0033230805700628	0.0006659563420625	0.0	0.0022290271331206
RP11-206L10.9		0.0	0.0583647410053868	0.037087232285956	0.0670378753795412	0.0463365790222051	0.0302142981593988	0.10704005809598
LINC00115	ENSG00000225880	0.302154373574778	0.0779998876349093	0.0361526305511967	0.0481596886193634	0.0611228503854312	0.0231851046855461	0.100164043906986
FAM41C	ENSG00000230368	0.0	0.0075716037539345	0.0081568288260715	0.0238096460202505	0.0143193858002011	0.018892623827412	0.0329480329030851
SAMD11	ENSG00000187634	0.0	0.0	0.0	0.0	0.003240618656529	0.0	0.0
NOC2L	ENSG00000188976	0.832712309123442	0.606403845298708	0.513545053890203	0.757521636716491	0.897083332992542	1.04690848264363	0.917454864671882
KLHL17	ENSG00000187961	0.196539472900497	0.0295366963653639	0.0464307058463248	0.021254679624717	0.0158143717936411	0.0092087160369315	0.0298162071444669
PLEKHN1	ENSG00000187583	0.0	0.009858255563697	0.0	0.0	0.0041831600578981	0.0	0.0
RP11-54O7.17		0.0	0.0212067867081517	0.0218187895092287	0.187187719588265	0.0095668532941688	0.0225118327380204	0.0354149636589514
HES4	ENSG00000188290	0.0621285481314066	0.366626858733838	0.170859307238728	3.12145285101	0.285762823967513	0.360563970734485	0.893078927957089
ISG15	ENSG00000187608	0.880215911669006	4.16756912075282	1.73577710597947	2.58360072397439	0.668277113366769	0.569046548836303	0.774001883654048
AGRN	ENSG00000188157	0.0621285481314066	0.390057645350362	0.193173982270535	0.221909547014264	0.23396057539786	0.139809260176646	0.26804379833531
RNF223	ENSG00000237330	0.0	0.115339458346632	0.110690601245074	0.200661934618254	0.0880679404323261	0.0265257454214507	0.0721358958635367
C1orf159		0.0	0.280470307438801	0.184128989642524	0.110032408997708	0.188954993107533	0.0637105465811955	0.18518300362415
LINC01342	ENSG00000223823	0.0	0.0	0.0	0.0	0.0050745194396958	0.0	0.0
RP11-465B22.8		0.936619837897286	0.328600316264671	0.289592083689701	0.26036812903652	0.213829989841346	0.326691420246732	0.221478095335534
TTLL10-AS1	ENSG00000205231	0.0	0.0	0.0	0.0	0.0014194520547382	0.0	0.0020665744228346
TTLL10	ENSG00000162571	0.0	0.0282727860958456	0.0543532824749141	0.0170668791391499	0.048450452009495	0.0172143831923749	0.0403500655885488
SDF4	ENSG00000078808	1.69137820361445	2.68807818100043	2.09934656100169	2.51720630693315	2.40144247229554	1.97278861282692	2.28761198172771
B3GALT6	ENSG00000176022	0.0	0.144753259542628	0.10660913957721	0.0767279259825771	0.117344636918496	0.119649445256391	0.112241832707278
FAM132A	ENSG00000184163	0.255352203330229	1.03815559324169	0.152371096731671	0.130060422707497	0.206058924020833	0.105983034049937	0.0514805765152752
UBE2J2	ENSG00000160087	0.292155779733943	0.791397493249043	0.879466590119964	0.910772145594532	0.853302874901364	0.794981769730189	0.972438645829294
SCNN1D	ENSG00000162572	0.0	0.0012061991889545	0.0	0.0	0.003922344147673	0.0	0.0
ACAP3	ENSG00000131584	0.812734861895296	0.241636051852901	0.156894857174017	0.181605699432632	0.176835499738646	0.145410234909534	0.158601201885679
PUSL1	ENSG00000169972	0.263639798103564	0.201050650028229	0.391500865556542	0.324370491151377	0.314144426678696	0.209859814533976	0.456725396083646
CPSF3L	ENSG00000127054	0.482165188796351	0.900724928371545	0.77352563576494	0.638580174968368	1.02949500416239	1.05060833778062	1.02912313944254
CPTP	ENSG00000224051	0.22833597298856	0.96937707241514	0.433184043058261	0.551090144460917	0.718475493398934	0.427114388117981	0.615123102052362
TAS1R3	ENSG00000169962	0.0	0.0030758190510197	0.0045268700669483	0.0	0.0032193202795549	0.0	0.0111709862675111
DVL1	ENSG00000107404	0.100693840201502	0.346836881690013	0.227234331223279	0.214391088973665	0.312047588959687	0.293155449291526	0.247411084910552
AURKAIP1	ENSG00000175756	4.45820899876416	5.74826693871211	4.85269754919898	4.47106197128868	5.0361289532044	3.95572160665994	4.94375143307518
CCNL2	ENSG00000221978	0.837999716981366	0.647899923415709	0.65980150851119	0.466537762980645	0.5729382659258	0.909337821008774	0.540726967497187
MRPL20	ENSG00000242485	3.59092068196574	2.40882949430198	2.89730587560577	3.27853175884645	3.5478362449422	3.14571077450799	3.45118761348349
RP4-758J18.13		0.0	0.0	0.012496935302076	0.0	0.0095683745068087	0.0	0.0040747588622087
VWA1	ENSG00000179403	0.687892203534365	0.350652474288537	0.191891340097578	0.184648668316178	0.202097325236604	0.127565212812606	0.115888470864512
ATAD3C	ENSG00000215915	0.275766251822718	0.0282813105760126	0.0154351897115211	0.0108274533493067	0.0142959344782816	0.0261727032410866	0.0047051928052884
ATAD3B	ENSG00000160072	0.0	0.283628894825042	0.276145122123134	0.229288333352448	0.435093764538878	0.217361811315217	0.628027940322639
ATAD3A	ENSG00000197785	0.356046043531731	0.310324494098277	0.337023862585673	0.287734220200773	0.513030453978193	0.299941045295277	0.899475397271441
TMEM240	ENSG00000205090	0.0	0.008478769225074	0.0031237680501027	0.0	0.0077638189214429	0.0107788193757619	0.0103254409895031
SSU72	ENSG00000160075	3.2457698306664	2.60997364696618	2.60241616847925	3.36010945372594	3.14624288787272	2.66384507388398	2.9016424425522
RP5-832C2.5		0.101074213021966	0.116812677124815	0.0696268594138552	0.0889233094672321	0.0898694826879698	0.120456196330854	0.0913403361072944
C1orf233		0.127898936038368	0.0831476827769993	0.0070950190351301	0.0297784561752706	0.0486505960648659	0.0068287619827844	0.0589488665503119
RP11-345P4.9		0.540284427774251	0.14068304319956	0.116546841430551	0.179284844045775	0.136697226952811	0.146017945080482	0.169653786566699
MIB2	ENSG00000197530	0.997765818244282	0.649412905043845	0.556810495304929	0.753729906131772	0.794880389452759	0.738537055449406	0.542308330992846
MMP23B	ENSG00000189409	0.0	0.055799708508802	0.0199059892704578	0.0292672610263534	0.0204417768468834	0.108914003556631	0.0242918962081235
CDK11B	ENSG00000248333	1.20487749829149	0.993660492190511	0.868034459316915	0.845456061996601	0.760523729392227	0.67690029913258	0.924996117722279
RP11-345P4.10		0.0	0.0074063126250878	0.0261438333231666	0.0214359282554395	0.0080397611467816	0.0115682872726713	0.0040800424644036
SLC35E2B	ENSG00000189339	0.515882273363939	0.553890966425989	0.39572978333212	0.295673290691294	0.400533905377661	0.704513783928419	0.428496706124032
CDK11A	ENSG00000008128	0.532643341395718	0.624133651151372	0.417523156055819	0.531043388783556	0.414172262307705	0.394124211086375	0.387033587516225
SLC35E2	ENSG00000189339	0.0	0.0102894406221514	0.0260854782254443	0.0118151697550016	0.0211738780376348	0.0864495393508106	0.0127522303105252
NADK	ENSG00000008130	0.0621285481314066	0.95964937608992	0.831598600383973	0.77717834567936	0.663923079339347	0.599393478813267	0.586713208754355
GNB1	ENSG00000078369	1.72993524099938	1.56088645512838	1.5709707978502	1.4825866509771	1.27909322819536	0.974143763472082	1.12057090201557
CALML6	ENSG00000169885	0.0	0.0030758190510197	0.0079941425459232	0.0	0.0	0.0	0.0
TMEM52	ENSG00000178821	0.213489117729708	0.0597283027990273	0.13743770263501	0.0282694768406204	0.141931463911291	0.29080415448725	0.215399277886955
PRKCZ	ENSG00000067606	0.0621285481314066	0.688165558637285	0.466564103709801	0.549545166626656	0.447494798040885	0.405197893098253	0.377178028417682
RP5-892K4.1		0.0	0.0345449745787406	0.0083183041527854	0.0203823057809936	0.0077026041244228	0.0	0.0025551931681447
RP11-181G12.2		0.0	0.0	0.016507349142281	0.0	0.0034755619799705	0.0	0.0024048369119283
FAAP20	ENSG00000162585	2.3850145673749	0.949277464999916	1.81953346628882	0.998101466900511	1.34495407523947	1.53969596027055	1.45320239771613
SKI	ENSG00000157933	0.100693840201502	0.182153519243295	0.147935370469864	0.166763961558947	0.162895888616649	0.197498240514389	0.181259413165781
MORN1	ENSG00000116151	0.281616406742348	0.074968022006661	0.0425369908120021	0.0491599166510586	0.0740735228675235	0.0727457082878846	0.0676313241386629
RER1	ENSG00000157916	1.5448193224256	2.50184449408258	2.08880473734629	2.80662149411347	2.68767819376692	2.00269964947533	2.81826431496854
PEX10	ENSG00000157911	0.290464521119966	0.220960677330552	0.253402173910002	0.352352962265149	0.45301029902794	0.614771109876116	0.557110578103993
PLCH2	ENSG00000276429	0.0	0.0	0.0094275123505562	0.0329196582622122	0.0034012974903351	0.010779662075251	0.0
PANK4	ENSG00000273494	0.0	0.0561260438616429	0.0937343424734475	0.067979180081329	0.0749005523698298	0.123564215530852	0.0483545720714868
HES5	ENSG00000273529	0.0	0.0152763221158465	0.0481657233829422	0.100235745396256	0.019824808932018	0.0	0.0442773684820275
RP3-395M20.12		0.21246096049747	0.298231877642481	0.225375347571987	0.48996714955895	0.384867242080481	0.0644977583164695	0.325336105670558
RP3-395M20.8		0.747410142734841	0.829759059633883	0.432734459618519	0.546565720767078	0.441925351473528	0.160566316182498	0.224265236212257
TNFRSF14	ENSG00000273936	1.44306734092599	1.92608065256964	1.07937263811283	1.72318502727311	1.73209717815822	1.52109695180531	1.3503700162993
RP3-395M20.9		0.0	0.101006060325093	0.0913729164043665	0.0802381143050207	0.145865236072634	0.0306118812152076	0.122466203645809
FAM213B	ENSG00000275125	0.313154800698972	0.750647799154251	0.512978206154712	0.91456769968493	0.811019538192149	0.589578342374901	0.769419511587867
MMEL1	ENSG00000277131	0.274589508628877	0.38764640258828	0.478673814615783	1.44912161871341	0.389088950615675	0.290257482910316	0.281799993484072
TTC34	ENSG00000275571	0.0	0.0089502896276963	0.0	0.0	0.0011300470457078	0.0	0.0
LINC00982	ENSG00000177133	0.0	0.0	0.0	0.0182739719198992	0.003666887436622	0.0	0.002739818108255
